#  FirstLayer_H  LastLayer_H NHits_H  AverageZP_H Thrust_H  PID_Angle_H  PID_Front_H  PID_LLR_M_H  FirstLayer_L  LastLayer_L  NHits_L  AverageZP_L  Thrust_L  PID_Angle_L  PID_Front_L  PID_LLR_M_L  Energy_As  Angle_Bet  Distance_Bet   Sig   Bg
3.346215757690873191e-03 7.170462337909013981e-03 4.541292814009042188e-03 4.831130311185073412e-01 2.367195965338232146e-04 1.535043972744756270e-02 1.827673408939758286e-04 1.078410526880042982e-03 9.560616450545351974e-04 3.824246580218140790e-03 3.346215757690873191e-03 3.838587504893958835e-01 2.316650898287489165e-04 1.535043972744756270e-02 1.827673408939758286e-04 5.375630602538524448e-03 8.697125474273222334e-06 4.675065198400484142e-04 7.865383393110063626e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.738776814075849778e-03 1.448776015454391816e-02 5.140818119354293933e-03 7.017004089987310955e-01 4.604663971149865979e-04 2.919077758007564485e-02 5.012606115457597194e-05 2.170546225125791900e-03 7.944900729911181375e-03 1.168367754398703072e-02 3.738776814075849778e-03 6.442379797754448356e-01 3.637031611245996623e-04 2.919077758007564485e-02 5.012606115457597194e-05 4.967226711876751924e-03 8.829873875273952456e-05 7.008532489073715814e-04 3.006253742083037084e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.212172640213239290e-03 8.295647400799646687e-03 6.636517920639717870e-03 8.408779568749632505e-01 2.545772145659516207e-04 3.942605698477262208e-03 1.514732676285810547e-05 1.417041445712355699e-02 2.488694220239894093e-03 3.318258960319858935e-03 1.382607900133274448e-03 4.700866860453133400e-01 2.685362727951191679e-04 3.942605698477262208e-03 1.514732676285810547e-05 3.868801812246567585e-03 1.420208198498979033e-04 3.662315405836423683e-04 2.675046730930243366e-01 1.000000000000000000e+00 0.000000000000000000e+00
6.064945742305194280e-03 3.133555300191016857e-02 2.729225584037337296e-02 6.114364032120216397e-01 9.712135232466295775e-04 4.463207723302457103e-02 1.643147750129902605e-03 3.229000968656538240e-02 1.010824290384198902e-03 4.043297161536795609e-03 5.054121451920995378e-03 6.752306259766449603e-01 9.556344971183702505e-04 4.463207723302457103e-02 1.643147750129902605e-03 -7.712480166608077017e-03 6.017978802476782940e-04 1.605920405586630084e-03 4.041117116789724739e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.015542955741946876e-03 1.015542955741946876e-02 1.320205842464530939e-02 6.100288338334283189e-01 4.598233788728342476e-04 3.216566778810830973e-02 5.060486092465572876e-05 2.172416942771441054e-02 5.077714778709734381e-04 1.218651546890336251e-02 6.601029212322654695e-03 5.932333274370379383e-01 4.875681647551475856e-04 3.216566778810830973e-02 5.060486092465572876e-05 8.066000195356722371e-03 3.910974233316581662e-04 1.159033183684845180e-03 5.223600570930932996e-01 0.000000000000000000e+00 1.000000000000000000e+00
2.114571782027518899e-04 5.286429455068797356e-03 1.903114603824767118e-03 1.321372455987933903e-01 2.012425277524897626e-04 5.956908360141064014e-03 3.978165039246191188e-06 7.537383081664319334e-03 6.343715346082556697e-04 1.480200247419263338e-03 1.057285891013759558e-03 6.146510170233492332e-01 1.748807957174872954e-04 5.956908360141064014e-03 3.978165039246191188e-06 1.553430617174193003e-03 1.459396878770498221e-04 1.626175058333612458e-04 7.775462930059976463e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.285174190417608302e-04 3.613691609459369295e-03 4.927761285626412399e-03 6.237450510527953185e-01 3.195196554516260682e-04 2.304962279604527015e-02 3.183494764049993233e-05 1.219212472485442511e-02 3.613691609459369295e-03 6.898865799876977706e-03 1.971104514250564873e-03 7.652265309522857661e-01 2.616771664082984724e-04 2.304962279604527015e-02 3.183494764049993233e-05 8.321497013823142899e-03 2.148454314402840459e-04 3.470062151267216304e-04 1.548795503479349078e-01 0.000000000000000000e+00 1.000000000000000000e+00
7.908590934101716180e-04 8.172210631905107298e-03 4.745154560461029708e-03 7.876385570099866396e-01 2.511348534492104166e-04 8.971793428354989108e-03 1.371950720884229421e-05 8.166999397718930145e-03 7.908590934101716180e-04 8.172210631905107298e-03 2.899816675837295788e-03 4.638747896498762180e-01 2.593701746367697045e-04 8.971793428354989108e-03 1.371950720884229421e-05 5.320438382372780391e-03 1.101188247368855883e-04 4.615975899763109748e-04 4.049982563241346090e-01 0.000000000000000000e+00 1.000000000000000000e+00
3.602345375065452941e-03 6.222232920567600731e-03 2.619887545502147357e-03 7.609135889967799660e-01 3.167372323090538160e-04 3.571993322878923988e-03 1.036178787426798517e-02 9.778286192647802841e-03 6.877204806943136919e-03 1.015206423882082133e-02 3.929831318253221469e-03 6.230965660728645661e-01 3.108125531164666281e-04 3.571993322878923988e-03 1.036178787426798517e-02 9.964779940200884159e-03 4.563536267478144134e-05 2.387976737404013435e-04 1.791686336719217898e-01 0.000000000000000000e+00 1.000000000000000000e+00
1.102007160871742693e-03 7.493648693927851268e-03 1.278328306611221585e-02 6.939149105974830034e-01 1.988344026712191503e-04 3.143011922174783392e-03 3.271066256275241037e-03 1.111391016328284326e-02 5.950838668707410586e-03 7.493648693927851268e-03 2.204014321743485386e-03 7.111340369678226248e-01 2.171332315774944543e-04 3.143011922174783392e-03 3.271066256275241037e-03 1.340133584783557378e-03 1.077760138113946205e-04 1.459624573879172234e-04 1.108452999116970594e-01 0.000000000000000000e+00 1.000000000000000000e+00
