#     Row        sigBg  FirstLaye  LastLayer      NHits  AverageZP     Thrust  PID_Angle  PID_Front  PID_LLR_M  FirstLaye  LastLayer  NHits_Low  AverageZP  Thrust_Lo  PID_Angle  PID_Front  PID_LLR_M  Energy_As  Angle_Bet  Distance_ 
# 
3.000000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00 1.399333300000000008e+03 9.586993000000000320e-01 4.379383800000000093e+01 2.262310000000000015e-02 2.555602199999999868e+01 1.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 1.488000000000000000e+03 9.676025999999999794e-01 4.379383800000000093e+01 2.262310000000000015e-02 -4.573039999999999883e-01 5.511306000000000260e-01 9.716367999999999672e-01 2.312598000000000127e+02
3.100000000000000000e+01 -9.990000000000000000e+02 1.400000000000000000e+01 2.100000000000000000e+01 1.000000000000000000e+01 1.276000000000000000e+03 9.720442000000000249e-01 5.299617299999999886e+01 2.451549500000000048e+00 5.527323700000000173e+00 1.000000000000000000e+00 6.000000000000000000e+00 7.000000000000000000e+00 1.276000000000000000e+03 9.613796000000000008e-01 5.299617299999999886e+01 2.451549500000000048e+00 5.341442100000000082e+00 6.651671000000000111e-01 6.755881999999999721e-01 4.418169599999999946e+02
3.200000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 3.100000000000000000e+01 3.500000000000000000e+01 1.451428499999999985e+03 8.227809000000000372e-01 6.853193600000000174e+01 4.062590999999999841e-01 1.893419600000000003e+01 3.000000000000000000e+00 7.000000000000000000e+00 4.000000000000000000e+00 1.211000000000000000e+03 9.538330000000000419e-01 6.853193600000000174e+01 4.062590999999999841e-01 1.133935400000000016e+01 9.398005000000000386e-01 4.571300999999999837e-01 6.549925799999999754e+02
3.300000000000000000e+01 -9.990000000000000000e+02 1.400000000000000000e+01 3.000000000000000000e+01 1.900000000000000000e+01 2.021263099999999895e+03 9.903946999999999612e-01 6.422364000000000317e+01 7.646676000000000029e-01 4.511886999999999759e+00 4.000000000000000000e+00 1.600000000000000000e+01 1.400000000000000000e+01 1.606000000000000000e+03 9.692475000000000396e-01 6.422364000000000317e+01 7.646676000000000029e-01 2.249072800000000072e+01 3.638729999999999742e-02 1.955968099999999987e+00 3.290743199999999888e+03
3.400000000000000000e+01 -9.990000000000000000e+02 8.000000000000000000e+00 3.100000000000000000e+01 1.100000000000000000e+01 1.501454500000000053e+03 9.852771000000000168e-01 6.246059400000000039e+01 1.072565999999999936e-01 4.644398599999999711e+00 1.700000000000000000e+01 2.500000000000000000e+01 8.000000000000000000e+00 1.378500000000000000e+03 7.782291999999999543e-01 6.246059400000000039e+01 1.072565999999999936e-01 1.062856000000000023e+01 1.889360999999999957e-01 1.499641800000000025e+00 6.432593100000000277e+02
3.500000000000000000e+01 1.000000000000000000e+01 8.000000000000000000e+00 3.000000000000000000e+01 2.400000000000000000e+01 3.040912600000000111e+03 9.206414000000000541e-01 1.425785899999999984e+01 5.477810000000000318e-02 5.124523899999999799e+01 9.000000000000000000e+00 1.200000000000000000e+01 5.000000000000000000e+00 1.700000000000000000e+03 9.711222999999999939e-01 1.425785899999999984e+01 5.477810000000000318e-02 1.399095799999999912e+01 5.135975999999999875e-01 1.324422999999999906e+00 9.673916699999999764e+02
3.600000000000000000e+01 -9.990000000000000000e+02 6.000000000000000000e+00 3.100000000000000000e+01 2.700000000000000000e+01 6.048889100000000099e+02 9.608134000000000396e-01 4.415413999999999817e+01 1.625552300000000061e+00 3.194423600000000008e+01 1.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+00 6.680000000000000000e+02 9.454012000000000526e-01 4.415413999999999817e+01 1.625552300000000061e+00 -7.629891999999999896e+00 5.953536000000000383e-01 1.588723600000000014e+00 3.997843300000000113e+02
3.700000000000000000e+01 -9.990000000000000000e+02 2.000000000000000000e+00 2.000000000000000000e+01 2.600000000000000000e+01 1.201384600000000091e+03 9.055714999999999737e-01 6.334673999999999694e+01 9.966070000000000484e-02 4.278335899999999725e+01 1.000000000000000000e+00 2.400000000000000000e+01 1.300000000000000000e+01 1.168307700000000068e+03 9.602117999999999487e-01 6.334673999999999694e+01 9.966070000000000484e-02 1.588509900000000030e+01 7.702233000000000551e-01 2.282588200000000178e+00 1.028730600000000095e+03
3.800000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e+01 9.000000000000000000e+00 6.248889100000000099e+02 9.516940000000000399e-01 2.817075499999999977e+01 1.881309999999999927e-02 3.564496199999999959e+01 3.000000000000000000e+00 7.000000000000000000e+00 5.000000000000000000e+00 2.906739900000000034e+03 8.270269999999999566e-01 2.817075499999999977e+01 1.881309999999999927e-02 7.346313000000000315e+00 6.901618999999999948e-01 7.690327999999999609e-01 3.677086299999999937e+03
3.900000000000000000e+01 -9.990000000000000000e+02 1.000000000000000000e+00 1.100000000000000000e+01 1.500000000000000000e+01 1.898666600000000017e+03 9.726110000000000033e-01 7.016255900000000167e+01 9.690490000000000215e-02 3.711256699999999853e+01 1.100000000000000000e+01 2.100000000000000000e+01 6.000000000000000000e+00 2.329333200000000033e+03 7.965396999999999617e-01 7.016255900000000167e+01 9.690490000000000215e-02 2.533045900000000117e+01 6.539848999999999801e-01 1.056279500000000038e+00 4.714500400000000013e+02
